PartitionKey,RowKey,cloudAnomalyType,cloudDetectionJson,cloudIsAnomaly,cloudReceivedTimestamp,deviceId,deviceType,edgeReceivedTimestamp,experimentId,groundTruthJson,iotHubEnqueuedTimestamp,messageType,originDeviceId,originModuleId,payloadJson,runId,scenario,sensorTimestamp,sequence,valuesJson
budgeted_800k_s0_s1_s2|S1_EDGE_PASS_THROUGH|s1_90_normal_rep1_smoke_20260504_004509,telemetry|edge-gateway-b-ubuntu|opcua-collector|compressor-001|000000000006|2366,,"{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""}",False,2026-05-03T22:49:14.449480Z,compressor-001,compressor,2026-05-03T22:49:14.186881Z,budgeted_800k_s0_s1_s2,"{""anomalyType"":null,""isAnomaly"":false}",2026-05-03T22:49:14.43,telemetry,edge-gateway-b-ubuntu,opcua-collector,"{""anomalyTimestamp"":null,""cloudDetection"":{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""},""cloudReceivedTimestamp"":""2026-05-03T22:49:14.449480Z"",""deviceId"":""compressor-001"",""deviceType"":""compressor"",""edgeReceivedTimestamp"":""2026-05-03T22:49:14.186881Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":null,""groundTruth"":{""anomalyType"":null,""isAnomaly"":false},""normalizedTimestamp"":null,""runId"":""s1_90_normal_rep1_smoke_20260504_004509"",""scenario"":""S1_EDGE_PASS_THROUGH"",""sensorTimestamp"":""2026-01-01T00:00:06.611111Z"",""sequence"":6,""values"":{""current"":8.6813,""pressure"":7.8124,""status"":""NORMAL"",""temperature"":53.7187,""vibration"":0.3539}}",s1_90_normal_rep1_smoke_20260504_004509,S1_EDGE_PASS_THROUGH,2026-01-01T00:00:06.611111Z,6,"{""current"":8.6813,""pressure"":7.8124,""status"":""NORMAL"",""temperature"":53.7187,""vibration"":0.3539}"
budgeted_800k_s0_s1_s2|S1_EDGE_PASS_THROUGH|s1_90_normal_rep1_smoke_20260504_004509,telemetry|edge-gateway-b-ubuntu|opcua-collector|compressor-001|000000000012|2466,,"{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""}",False,2026-05-03T22:49:21.469875Z,compressor-001,compressor,2026-05-03T22:49:21.248836Z,budgeted_800k_s0_s1_s2,"{""anomalyType"":null,""isAnomaly"":false}",2026-05-03T22:49:21.401,telemetry,edge-gateway-b-ubuntu,opcua-collector,"{""anomalyTimestamp"":null,""cloudDetection"":{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""},""cloudReceivedTimestamp"":""2026-05-03T22:49:21.469875Z"",""deviceId"":""compressor-001"",""deviceType"":""compressor"",""edgeReceivedTimestamp"":""2026-05-03T22:49:21.248836Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":null,""groundTruth"":{""anomalyType"":null,""isAnomaly"":false},""normalizedTimestamp"":null,""runId"":""s1_90_normal_rep1_smoke_20260504_004509"",""scenario"":""S1_EDGE_PASS_THROUGH"",""sensorTimestamp"":""2026-01-01T00:00:13.277778Z"",""sequence"":12,""values"":{""current"":8.3837,""pressure"":7.3003,""status"":""NORMAL"",""temperature"":47.1395,""vibration"":0.3925}}",s1_90_normal_rep1_smoke_20260504_004509,S1_EDGE_PASS_THROUGH,2026-01-01T00:00:13.277778Z,12,"{""current"":8.3837,""pressure"":7.3003,""status"":""NORMAL"",""temperature"":47.1395,""vibration"":0.3925}"
budgeted_800k_s0_s1_s2|S1_EDGE_PASS_THROUGH|s1_90_normal_rep1_smoke_20260504_004509,telemetry|edge-gateway-b-ubuntu|opcua-collector|compressor-001|000000000019|2566,,"{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""}",False,2026-05-03T22:49:28.693011Z,compressor-001,compressor,2026-05-03T22:49:28.533943Z,budgeted_800k_s0_s1_s2,"{""anomalyType"":null,""isAnomaly"":false}",2026-05-03T22:49:28.652,telemetry,edge-gateway-b-ubuntu,opcua-collector,"{""anomalyTimestamp"":null,""cloudDetection"":{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""},""cloudReceivedTimestamp"":""2026-05-03T22:49:28.693011Z"",""deviceId"":""compressor-001"",""deviceType"":""compressor"",""edgeReceivedTimestamp"":""2026-05-03T22:49:28.533943Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":null,""groundTruth"":{""anomalyType"":null,""isAnomaly"":false},""normalizedTimestamp"":null,""runId"":""s1_90_normal_rep1_smoke_20260504_004509"",""scenario"":""S1_EDGE_PASS_THROUGH"",""sensorTimestamp"":""2026-01-01T00:00:21.055556Z"",""sequence"":19,""values"":{""current"":8.8224,""pressure"":7.3696,""status"":""NORMAL"",""temperature"":41.941,""vibration"":0.3409}}",s1_90_normal_rep1_smoke_20260504_004509,S1_EDGE_PASS_THROUGH,2026-01-01T00:00:21.055556Z,19,"{""current"":8.8224,""pressure"":7.3696,""status"":""NORMAL"",""temperature"":41.941,""vibration"":0.3409}"
budgeted_800k_s0_s1_s2|S1_EDGE_PASS_THROUGH|s1_90_normal_rep1_smoke_20260504_004509,telemetry|edge-gateway-b-ubuntu|opcua-collector|compressor-001|000000000025|2666,,"{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""}",False,2026-05-03T22:49:35.970320Z,compressor-001,compressor,2026-05-03T22:49:35.741294Z,budgeted_800k_s0_s1_s2,"{""anomalyType"":null,""isAnomaly"":false}",2026-05-03T22:49:35.919,telemetry,edge-gateway-b-ubuntu,opcua-collector,"{""anomalyTimestamp"":null,""cloudDetection"":{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""},""cloudReceivedTimestamp"":""2026-05-03T22:49:35.970320Z"",""deviceId"":""compressor-001"",""deviceType"":""compressor"",""edgeReceivedTimestamp"":""2026-05-03T22:49:35.741294Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":null,""groundTruth"":{""anomalyType"":null,""isAnomaly"":false},""normalizedTimestamp"":null,""runId"":""s1_90_normal_rep1_smoke_20260504_004509"",""scenario"":""S1_EDGE_PASS_THROUGH"",""sensorTimestamp"":""2026-01-01T00:00:27.722222Z"",""sequence"":25,""values"":{""current"":8.8076,""pressure"":7.641,""status"":""NORMAL"",""temperature"":40.0,""vibration"":0.326}}",s1_90_normal_rep1_smoke_20260504_004509,S1_EDGE_PASS_THROUGH,2026-01-01T00:00:27.722222Z,25,"{""current"":8.8076,""pressure"":7.641,""status"":""NORMAL"",""temperature"":40.0,""vibration"":0.326}"
budgeted_800k_s0_s1_s2|S1_EDGE_PASS_THROUGH|s1_90_normal_rep1_smoke_20260504_004509,telemetry|edge-gateway-b-ubuntu|opcua-collector|compressor-001|000000000031|2766,,"{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""}",False,2026-05-03T22:49:42.196579Z,compressor-001,compressor,2026-05-03T22:49:42.040898Z,budgeted_800k_s0_s1_s2,"{""anomalyType"":null,""isAnomaly"":false}",2026-05-03T22:49:42.154,telemetry,edge-gateway-b-ubuntu,opcua-collector,"{""anomalyTimestamp"":null,""cloudDetection"":{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""},""cloudReceivedTimestamp"":""2026-05-03T22:49:42.196579Z"",""deviceId"":""compressor-001"",""deviceType"":""compressor"",""edgeReceivedTimestamp"":""2026-05-03T22:49:42.040898Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":null,""groundTruth"":{""anomalyType"":null,""isAnomaly"":false},""normalizedTimestamp"":null,""runId"":""s1_90_normal_rep1_smoke_20260504_004509"",""scenario"":""S1_EDGE_PASS_THROUGH"",""sensorTimestamp"":""2026-01-01T00:00:34.388889Z"",""sequence"":31,""values"":{""current"":8.8537,""pressure"":7.7098,""status"":""NORMAL"",""temperature"":40.0,""vibration"":0.3315}}",s1_90_normal_rep1_smoke_20260504_004509,S1_EDGE_PASS_THROUGH,2026-01-01T00:00:34.388889Z,31,"{""current"":8.8537,""pressure"":7.7098,""status"":""NORMAL"",""temperature"":40.0,""vibration"":0.3315}"
budgeted_800k_s0_s1_s2|S1_EDGE_PASS_THROUGH|s1_90_normal_rep1_smoke_20260504_004509,telemetry|edge-gateway-b-ubuntu|opcua-collector|compressor-001|000000000036|2866,,"{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""}",False,2026-05-03T22:49:48.109111Z,compressor-001,compressor,2026-05-03T22:49:47.915973Z,budgeted_800k_s0_s1_s2,"{""anomalyType"":null,""isAnomaly"":false}",2026-05-03T22:49:48.094,telemetry,edge-gateway-b-ubuntu,opcua-collector,"{""anomalyTimestamp"":null,""cloudDetection"":{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""},""cloudReceivedTimestamp"":""2026-05-03T22:49:48.109111Z"",""deviceId"":""compressor-001"",""deviceType"":""compressor"",""edgeReceivedTimestamp"":""2026-05-03T22:49:47.915973Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":null,""groundTruth"":{""anomalyType"":null,""isAnomaly"":false},""normalizedTimestamp"":null,""runId"":""s1_90_normal_rep1_smoke_20260504_004509"",""scenario"":""S1_EDGE_PASS_THROUGH"",""sensorTimestamp"":""2026-01-01T00:00:39.944444Z"",""sequence"":36,""values"":{""current"":8.5597,""pressure"":7.107,""status"":""NORMAL"",""temperature"":40.0,""vibration"":0.3614}}",s1_90_normal_rep1_smoke_20260504_004509,S1_EDGE_PASS_THROUGH,2026-01-01T00:00:39.944444Z,36,"{""current"":8.5597,""pressure"":7.107,""status"":""NORMAL"",""temperature"":40.0,""vibration"":0.3614}"
budgeted_800k_s0_s1_s2|S1_EDGE_PASS_THROUGH|s1_90_normal_rep1_smoke_20260504_004509,telemetry|edge-gateway-b-ubuntu|opcua-collector|compressor-001|000000000044|2966,,"{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""}",False,2026-05-03T22:49:56.719749Z,compressor-001,compressor,2026-05-03T22:49:56.523866Z,budgeted_800k_s0_s1_s2,"{""anomalyType"":null,""isAnomaly"":false}",2026-05-03T22:49:56.683,telemetry,edge-gateway-b-ubuntu,opcua-collector,"{""anomalyTimestamp"":null,""cloudDetection"":{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""},""cloudReceivedTimestamp"":""2026-05-03T22:49:56.719749Z"",""deviceId"":""compressor-001"",""deviceType"":""compressor"",""edgeReceivedTimestamp"":""2026-05-03T22:49:56.523866Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":null,""groundTruth"":{""anomalyType"":null,""isAnomaly"":false},""normalizedTimestamp"":null,""runId"":""s1_90_normal_rep1_smoke_20260504_004509"",""scenario"":""S1_EDGE_PASS_THROUGH"",""sensorTimestamp"":""2026-01-01T00:00:48.833333Z"",""sequence"":44,""values"":{""current"":8.5415,""pressure"":7.4423,""status"":""NORMAL"",""temperature"":40.0,""vibration"":0.3658}}",s1_90_normal_rep1_smoke_20260504_004509,S1_EDGE_PASS_THROUGH,2026-01-01T00:00:48.833333Z,44,"{""current"":8.5415,""pressure"":7.4423,""status"":""NORMAL"",""temperature"":40.0,""vibration"":0.3658}"
budgeted_800k_s0_s1_s2|S1_EDGE_PASS_THROUGH|s1_90_normal_rep1_smoke_20260504_004509,telemetry|edge-gateway-b-ubuntu|opcua-collector|compressor-001|000000000050|3066,,"{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""}",False,2026-05-03T22:50:03.791980Z,compressor-001,compressor,2026-05-03T22:50:03.542632Z,budgeted_800k_s0_s1_s2,"{""anomalyType"":null,""isAnomaly"":false}",2026-05-03T22:50:03.769,telemetry,edge-gateway-b-ubuntu,opcua-collector,"{""anomalyTimestamp"":null,""cloudDetection"":{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""},""cloudReceivedTimestamp"":""2026-05-03T22:50:03.791980Z"",""deviceId"":""compressor-001"",""deviceType"":""compressor"",""edgeReceivedTimestamp"":""2026-05-03T22:50:03.542632Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":null,""groundTruth"":{""anomalyType"":null,""isAnomaly"":false},""normalizedTimestamp"":null,""runId"":""s1_90_normal_rep1_smoke_20260504_004509"",""scenario"":""S1_EDGE_PASS_THROUGH"",""sensorTimestamp"":""2026-01-01T00:00:55.500000Z"",""sequence"":50,""values"":{""current"":8.852,""pressure"":7.7616,""status"":""NORMAL"",""temperature"":40.0,""vibration"":0.3789}}",s1_90_normal_rep1_smoke_20260504_004509,S1_EDGE_PASS_THROUGH,2026-01-01T00:00:55.500000Z,50,"{""current"":8.852,""pressure"":7.7616,""status"":""NORMAL"",""temperature"":40.0,""vibration"":0.3789}"
budgeted_800k_s0_s1_s2|S1_EDGE_PASS_THROUGH|s1_90_normal_rep1_smoke_20260504_004509,telemetry|edge-gateway-b-ubuntu|opcua-collector|compressor-002|000000000006|2367,,"{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""}",False,2026-05-03T22:49:14.470010Z,compressor-002,compressor,2026-05-03T22:49:14.208198Z,budgeted_800k_s0_s1_s2,"{""anomalyType"":null,""isAnomaly"":false}",2026-05-03T22:49:14.43,telemetry,edge-gateway-b-ubuntu,opcua-collector,"{""anomalyTimestamp"":null,""cloudDetection"":{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""},""cloudReceivedTimestamp"":""2026-05-03T22:49:14.470010Z"",""deviceId"":""compressor-002"",""deviceType"":""compressor"",""edgeReceivedTimestamp"":""2026-05-03T22:49:14.208198Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":null,""groundTruth"":{""anomalyType"":null,""isAnomaly"":false},""normalizedTimestamp"":null,""runId"":""s1_90_normal_rep1_smoke_20260504_004509"",""scenario"":""S1_EDGE_PASS_THROUGH"",""sensorTimestamp"":""2026-01-01T00:00:06.622222Z"",""sequence"":6,""values"":{""current"":7.9554,""pressure"":6.0433,""status"":""NORMAL"",""temperature"":53.1233,""vibration"":0.3265}}",s1_90_normal_rep1_smoke_20260504_004509,S1_EDGE_PASS_THROUGH,2026-01-01T00:00:06.622222Z,6,"{""current"":7.9554,""pressure"":6.0433,""status"":""NORMAL"",""temperature"":53.1233,""vibration"":0.3265}"
budgeted_800k_s0_s1_s2|S1_EDGE_PASS_THROUGH|s1_90_normal_rep1_smoke_20260504_004509,telemetry|edge-gateway-b-ubuntu|opcua-collector|compressor-002|000000000012|2467,,"{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""}",False,2026-05-03T22:49:21.565779Z,compressor-002,compressor,2026-05-03T22:49:21.363106Z,budgeted_800k_s0_s1_s2,"{""anomalyType"":null,""isAnomaly"":false}",2026-05-03T22:49:21.542,telemetry,edge-gateway-b-ubuntu,opcua-collector,"{""anomalyTimestamp"":null,""cloudDetection"":{""anomalyType"":null,""isAnomaly"":false,""matchedRules"":[],""score"":0.0,""severity"":""none""},""cloudReceivedTimestamp"":""2026-05-03T22:49:21.565779Z"",""deviceId"":""compressor-002"",""deviceType"":""compressor"",""edgeReceivedTimestamp"":""2026-05-03T22:49:21.363106Z"",""experimentId"":""budgeted_800k_s0_s1_s2"",""filteredTimestamp"":null,""groundTruth"":{""anomalyType"":null,""isAnomaly"":false},""normalizedTimestamp"":null,""runId"":""s1_90_normal_rep1_smoke_20260504_004509"",""scenario"":""S1_EDGE_PASS_THROUGH"",""sensorTimestamp"":""2026-01-01T00:00:13.288889Z"",""sequence"":12,""values"":{""current"":7.8912,""pressure"":5.5572,""status"":""NORMAL"",""temperature"":46.7166,""vibration"":0.3387}}",s1_90_normal_rep1_smoke_20260504_004509,S1_EDGE_PASS_THROUGH,2026-01-01T00:00:13.288889Z,12,"{""current"":7.8912,""pressure"":5.5572,""status"":""NORMAL"",""temperature"":46.7166,""vibration"":0.3387}"
